    "DIA_Markus_Hello_15_00": "Кто ты?",
    "DIA_Markus_Q205_Camp_More_03_02": "Киппер был прав, они не только хорошо провели время, выпивая, но и прихватили некоторые вещи из деревни.",
    "DIA_Markus_Q205_Camp_More_03_03": "Должно быть, они несли с собой что-то тяжёлое. Следы очень глубокие, тут ты можешь увидеть несколько мест вокруг костра, куда, вероятно, были положены эти вещи.",
    "DIA_Markus_Q205_Camp_More_03_04": "Интересно, кажется, двое из них были очень пьяны, потому что часть пути они уже не шли, а просто плелись, упираясь ногами в землю, но как только дошли сюда, сразу же упали на землю.",
    "DIA_Markus_Q205_Camp_Guards_15_01": "Как ты думаешь, те мёртвые животные в лесу, о которых говорил Киппер, это дело рук стражников?",
    "DIA_Markus_Q205_Camp_Guards_03_02": "Маловероятно. Мёртвых животных находят тут уже несколько недель, к сожалению, большинство из них уже в таком состоянии, что трудно даже сказать, что их убило.",
    "DIA_Markus_Q205_Camp_Guards_03_03": "Кроме того, что-то добралось до дозорного, и произошло это задолго до появления стражников.",
    "DIA_Markus_Q205_Camp_Guards_03_04": "Чтобы не связываться с охотниками из Гильдии торговцев, я должен сам найти какое-то объяснение для Альбина и всех жителей деревни.",
    "DIA_Markus_Q205_Camp_Guards_03_05": "Уже весь Зильбах, с Киппером во главе, начинает паниковать. Нужно ещё раз получше осмотреться.",
    "DIA_Markus_Q205_Camp_Guards_03_06": "Продолжи свои поиски, следы стражников ведут к небольшому озеру, к западу отсюда.",
    "DIA_Markus_Q205_Camp_Guards_03_07": "Если я правильно помню, там есть небольшая ложбина, возможно, там они и остановились.",
    "DIA_Markus_SQ416_SmalltalkBeast_03_01": "Если так пойдёт и дальше, Рамзи откажется от наших услуг. Мы должны поймать этого монстра.",
    "DIA_Markus_SQ416_SmalltalkBeast_03_02": "Я работаю над этим! Если ты думаешь, что это так просто, почему сам до сих пор ничего не сделал?",
    "DIA_Markus_SQ416_SmalltalkBeast_What_15_01": "Что-то не так?",
    "DIA_Markus_SQ416_SmalltalkBeast_What_03_02": "О, Марвин, это ты! По поводу этого Зверя...",
    "DIA_Markus_SQ416_SmalltalkBeast_What_03_03": "Есть ещё одна жертва.",
    "DIA_Markus_SQ416_SmalltalkBeast_Who_15_01": "Кто на этот раз?",
    "DIA_Markus_SQ416_SmalltalkBeast_Who_03_02": "Габриен. Он хотел навестить своего друга-пасечника. Все отговаривали его идти через лес.",
    "DIA_Markus_SQ416_SmalltalkBeast_Who_03_03": "Но он сказал, что если Гильдия торговцев может пройти через лес, то и у него получится. Что ж, он ошибся.",
    "DIA_Markus_SQ416_SmalltalkBeast_Help_15_01": "Что теперь? Тебе чем-нибудь помощь?",
    "DIA_Markus_SQ416_SmalltalkBeast_Help_03_02": "С этим мы должны разобраться сами, Рамзи уже пригрозил, что если Зверь не прекратит нападать на местных, то мы можем проваливать отсюда.",
    "DIA_Markus_Fletchery_15_01": "Научи меня основам изготовления луков.",
    "DIA_Markus_Fletchery_13_01": "При создании лука используй древесину хорошего качества. Тщательно избавляйся от всех изъянов и постоянно проверяй прочность оружия. Тетивой занимайся в самом конце.",
    "DIA_Markus_Fletchery_13_02": "В случае с арбалетом можно использовать менее гибкий материал, но такой, который выдержит длительное натяжение. Ни в коем случае нельзя забывать о румпеле, его должно быть удобно держать, иначе оружие будет бесполезным.",
    "DIA_Markus_Fletchery_13_03": "Послушай, я же не много прошу, ты легко можешь собрать нужную сумму.",
    "DIA_Markus_Q504_Feel_03_01": "Кто бы мог подумать, ещё недавно я защищал Зильбах от падальщиков, а теперь отправляюсь в какую-то гробницу...",
    "DIA_Markus_Q504_Feel_03_02": "Будем надеяться, что там столько золота, сколько пообещал Кессель!",
    "DIA_Markus_Ambient_15_00": "Как поживаешь?",
    "DIA_Markus_Ambient_13_01": "Всё спокойно... Не было замечено ни одного монстра поблизости от деревни.",
    "DIA_Markus_Ambient_13_02": "Надеюсь, что так и останется.",
    "DIA_Markus_Hunting_Base_15_01": "Научи меня основам разделки животных.",
    "DIA_Markus_Hunting_Base_03_02": "Само по себе снятие шкуры с животных не слишком сложно, просто это требует большого терпения и аккуратности.",
    "DIA_Markus_Hunting_Base_03_03": "Разрежь кожу животного в области живота, где она наиболее нежная, а затем начни аккуратно сдирать её.",
    "DIA_Markus_Hunting_Base_03_04": "Иногда тебе придётся делать дополнительные надрезы, но помни, что чем больше ты их сделаешь, тем ниже будет качество кожи, которую получишь. Со временем ты научишься, не бойся пробовать.",
    "DIA_Markus_Hunting_Base_03_05": "Этого недостаточно, принеси ещё.",
    "DIA_Markus_Hunting_Special_03_01": "Конечно, почему бы и нет.",
    "DIA_Markus_AllHunt_03_01": "Ты уже знаешь всё, чему я мог бы тебя научить. Тебе нужно найти себе нового учителя.",
    "DIA_Markus_Hunting_Special_BFSting_15_01": "Как достать ядовитые железы?",
    "DIA_Markus_Hunting_Special_BFSting_03_02": "Ты должен быть осторожен. Жала нежные и могут сломаться. Шершням и трутням часто приходится отращивать новые, пока они живы, мёртвые, очевидно, этого делать не будут.",
    "DIA_Markus_Hunting_Special_BFSting_03_03": "Нащупай мягкое место на брюшке этих мух-переростков, нажми и уверенным движением ножа отрежь торчащее жало.",
    "DIA_Markus_Hunting_Special_Mandibles_15_01": "Как вырывать мандибулы?",
    "DIA_Markus_Hunting_Special_Mandibles_03_02": "Мандибулы – не сложный трофей для начинающих охотников. У большинства видов они состоят из прочной хитиновой оболочки, поэтому их трудно повредить.",
    "DIA_Markus_Hunting_Special_Mandibles_03_03": "Когда перед тобой лежит мёртвый полевой хищник или ползун, схвати их мандибулы у основания, сильно скрути и рывком вырви. Они должны оказаться у тебя в руках.",
    "DIA_Markus_Hunting_Special_BFWing_15_01": "Как вырывать крылья шершней?",
    "DIA_Markus_Hunting_Special_BFWing_03_02": "Чтобы отделить крылья трутня или шершня, нужно аккуратно взять их и дёрнуть вверх под прямым углом. Если повезёт, ты их не повредишь.",
    "DIA_Markus_Hunting_Special_Claws_15_01": "Как вырезать когти у животных?",
    "DIA_Markus_Hunting_Special_Claws_03_02": "Добыть когти можно от многих видов животных, но принцип всегда один и тот же. Возьмись за лапу животного и убедись, что коготь полностью вышел.",
    "DIA_Markus_Hunting_Special_Claws_03_03": "Затем просунь лезвие под основание когтя и подтолкни его вверх. Иногда он может остаться на сухожилии, в этом случае тебе нужно подрезать его поглубже.",
    "DIA_Markus_Hunting_Special_BFSting_03_04": "Этого недостаточно, принеси больше.",
    "DIA_Markus_Hunting_Special_Mandibles_03_04": "Этого недостаточно, принеси больше.",
    "DIA_Markus_Hunting_Special_BFWing_03_03": "Этого недостаточно, принеси больше.",
    "DIA_Markus_Hunting_Special_Claws_03_04": "Этого недостаточно, принеси больше.",
    "DIA_Markus_Base_Sneak_03_01": "Самое главное – охотиться с умом. Если твоя цель слишком быстро осознает твоё присутствие, она может напасть на тебя или просто убежать.",
    "DIA_Markus_Base_Sneak_03_02": "Старайся приближаться к добыче медленно, на согнутых ногах, с оружием наготове, и когда окажешься совсем близко, стреляй.",
    "DIA_Markus_Exit_13_01": "Дай мне знать, если у тебя будут лишние клыки или когти. Я с удовольствием куплю их за разумную цену.",
    "DIA_Markus_Ambient_13_03": "Остерегайся жаболюдов. В последнее время фермеры стали их замечать возле реки к западу от моего лагеря.",
    "DIA_Markus_Ambient_13_04": "Они выглядят как гоблины-переростки, но обладают силой целого орка. Хорошо, что они обитают только на Архолосе, иначе нам бы и с ними пришлось воевать.",
    "DIA_Markus_Ambient_13_05": "Обычно они держатся поближе к воде и избегают стычек, но осторожность никогда не бывает лишней.",
    "DIA_Markus_SQ101_Guide_Description": "Бастиан отправил меня за древесиной...",
    "DIA_Markus_SQ101_Guide_15_01": "Бастиан отправил меня за древесиной на сигнальную башню и в лагерь лесорубов, может, что-нибудь посоветуешь?",
    "DIA_Markus_SQ101_Guide_03_02": "Скажу тебе это как человек, который часто ходит по местным лесам, – без приличного снаряжения даже не суйся туда.",
    "DIA_Markus_SQ101_Guide_03_03": "Сигнальная башня находится буквально в нескольких шагах, к юго-востоку отсюда, но там, на холме, тебе обязательно встретятся несколько групп падальщиков.",
    "DIA_Markus_SQ101_Guide_03_04": "С лагерем лесорубов не легче, но туда можно попасть несколькими способами.",
    "DIA_Markus_SQ101_Guide_03_05": "Ты можешь пройти мимо сигнальной башни, потом по мосту через водопад и дойти до каменной арки. Там я бы посоветовал тебе перейти реку и следовать вдоль неё до лагеря углежогов.",
    "DIA_Markus_SQ101_Guide_03_06": "Клянусь Аданосом, в последний раз, когда я охотился возле каменной арки, я видел груду камней, которая двигалась, словно живая.",
    "DIA_Markus_SQ101_Guide_03_07": "Если переход через реку тебя не устраивает, всегда есть более длинный путь через лес. Поверни на восток перед сигнальной башней, а затем иди на юг.",
    "DIA_Markus_SellTrophy_03_02": "Неплохо, приличные трофеи.",
    "DIA_Markus_SellTrophy_03_03": "Наверное, ты забыл взять их с собой.",
    "DIA_Markus_SellTrophy_03_04": "Помни, я покупаю только когти и клыки!",
    "DIA_Markus_SellTrophy_15_01": "Я принёс трофеи.",
    "DIA_Markus_Q205_Camp_Guards_Choice": "Эти мёртвые животные, это дело рук стражников?",
    "DIA_Markus_SellTrophy_Claws_Choice": "(Отдать обычные когти)",
    "DIA_Markus_SellTrophy_ClawsLurker_Choice": "(Отдать когти шныга)",
    "DIA_Markus_SellTrophy_ClawsSeaLurker_Choice": "(Отдать когти морского шныга)",
    "DIA_Markus_SellTrophy_Teeth_Choice": "(Отдать обычные клыки)",
    "DIA_Markus_SellTrophy_BoarTeeth_Choice": "(Отдать клыки кабана)",
    "DIA_Markus_SellTrophy_TrollTeeth_Choice": "(Отдать клыки тролля)",
    "DIA_Markus_SellTrophy_SwampSharkTeeth_Choice": "(Отдать зубы болотожора)",
    "DIA_Markus_SellTrophy_SeaSharkTeeth_Choice": "(Отдать зубы волножора)",
    "DIA_Markus_Q514_Gold_15_01": "Маркус, забудь про золото, надо бежать!",
    "DIA_Markus_Q514_Gold_03_02": "Ещё чуть-чуть, его здесь так много...",
    "DIA_Markus_VZ_NoMore_03_01": "Зараза, а ты хорош. Мне больше нечему тебя учить.",
    "DIA_Markus_VZ_Teach_15_00": "Научи меня.",
    "DIA_Markus_VZ_Teach_03_01": "Я много тренировался с тех пор, как Рамзи выгнал нас. Если у тебя есть золото, буду рад научить тебя чему-нибудь.",
    "DIA_Markus_VZ_Teach_BOW1_03_01": "Кажется, экспедиция должна быть прибыльной, а у тебя даже мелочи с собой нет?",
    "DIA_Markus_VZ_Teach_BOW5_03_01": "Да ладно, наверняка тебе это по карману. В таких руинах легко найти что-нибудь ценное.",
    "DIA_Markus_VZ_TeachFletchery_15_01": "Научи меня основам изготовления луков.",
    "DIA_Markus_VZ_TeachFletchery_13_02": "Тебе будет трудно учиться в таких условиях, потому что самое главное в изготовлении лука – это материалы. Качественное дерево, хорошо сделанная тетива и любые укрепляющие дополнения.",
    "DIA_Markus_VZ_TeachFletchery_03_03": "Не знаю, сможешь ли ты найти их здесь, но если у тебя случайно всё это есть, садись за стол и приступай к работе. Практика – лучший учитель.",
    "DIA_Markus_VZ_TeachFletchery2_15_01": "Научи меня продвинутым техникам изготовления луков.",
    "DIA_Markus_VZ_TeachFletchery2_03_02": "На этом уровне тебе нужно начать экспериментировать с материалами. В зависимости от того, работаешь ли ты над луком или арбалетом, нужно будет использовать разные материалы.",
    "DIA_Markus_VZ_TeachFletchery2_03_03": "В случае с луком первостепенное значение имеет идеальный баланс между гибкостью и прочностью тетивы, а в случае с арбалетом – способность дольше оставаться в натяжении.",
    "DIA_Markus_VZ_TeachFletchery2_03_04": "Также не забывай испытывать каждое из твоих орудий ещё на стадии создания, это поможет тебе устранить недостатки.",
    "DIA_Markus_VZ_Ambient_03_01": "Проклятье, я бы лучше поохотился на троллей, чем на эту нежить...",
    "DIA_Markus_VZ_Ambient_03_02": "Я выдержу, конечно, если мы, наконец, найдём те великие сокровища, о которых упоминалось. Иначе весь этот стресс будет напрасным.",
    "DIA_Markus_VZ_Ambient_03_03": "Ожившие статуи? Интересно, имеют ли они какое-то отношение к той груде камней, которую я однажды видел на пути к лагерю углежогов...",
    "DIA_Markus_VZ_Ambient_03_04": "Давай разобьём лагерь и приступим к поиску сокровищ. Я не собираюсь уходить с пустыми руками.",
    "DIA_Markus_VZ_Ambient_03_05": "Если тебе нужно охотничье оружие, стрелы или трофеи, ты знаешь, где меня найти. Я взял кое-что на всякий случай.",
    "DIA_Markus_VZ_Q514_Help_Description": "Доступ в одну из комнат преграждает коридор с кольями в полу.",
    "DIA_Markus_VZ_Q514_Help_15_01": "Доступ в одну из комнат преграждает коридор с кольями в полу.",
    "DIA_Markus_VZ_Q514_Help_03_02": "Достань стрелковое оружие и осмотрись в поисках какого-нибудь переключателя.",
    "DIA_Markus_VZ_Q514_Help_03_03": "Нет смысла создавать ловушку, которую нельзя отключить с любой стороны. Поскольку это неподвижная цель, ты поразишь её без особых проблем.",
    "SVM_1_Aargh_1": "А-а-ах",
    "SVM_1_Aargh_2": "А-а-ах",
    "SVM_1_Aargh_3": "А-а-ах",
    "SVM_1_ABS_CITY": "Я слышал, ты поговорил с Родерихом и обо всём договорился.",
    "SVM_1_ABS_MONASTERY": "Я узнал, что ты ходил на исповедь, и мастер Нотгер отпустил тебе грехи.",
    "SVM_1_ABS_FARMS": "Говорят, ты всё уладил с Альбином.",
    "SVM_1_Alarm": "ТРЕВОГА!",
    "SVM_1_ATTACK_CRIME": "Да ты бандит, лучше проваливай отсюда!",
    "SVM_1_Awake": "<зевает>",
    "SVM_1_CheerFriend01": "Давай, врежь ему!",
    "SVM_1_CheerFriend02": "Покажи ему!",
    "SVM_1_CheerFriend03": "Покончи с ним!",
    "SVM_1_CITY_CRIME": "Родерих узнает о твоей выходке!",
    "SVM_1_CQ004_ASKBOOR": "Понятия не имею, но Борр наверняка знает.",
    "SVM_1_Dead": "А-а-а-ах!",
    "SVM_1_DieEnemy": "Я разорву тебя на куски!",
    "SVM_1_DieMonster": "Ещё одно проклятое создание!",
    "SVM_1_DirtyThief": "Ты жалкий ничтожный воришка!",
    "SVM_1_DieStupidBeast": "А ЭТА тварь, что тут забыла?",
    "SVM_1_DONTKNOW_PERSON_CALM": "Извини, я понятия не имею, о ком ты говоришь.",
    "SVM_1_DONTKNOW_PERSON_ANGRY": "Оставь меня в покое, я никого такого не знаю.",
    "SVM_1_DONTKNOW_TOPIC_CALM": "Никогда об этом не слышал.",
    "SVM_1_DONTKNOW_TOPIC_ANGRY": "Чёрт возьми, откуда мне это знать?",
    "SVM_1_EnemyKilled": "Тупой болван...",
    "SVM_1_FARMS_CRIME": "Альбин будет в ярости из-за тебя. Зачем ты это сделал?!",
    "SVM_1_GetOutOfHere": "Давай, убирайся!",
    "SVM_1_GetOutOfMyBed": "Убирайся с моей кровати!",
    "SVM_1_GetUpAndBeGone": "Пусть это будет тебе уроком.",
    "SVM_1_GoddamnBug": "Мерзкое насекомое...",
    "SVM_1_GoodKill": "Давай, покажи этой свинье!",
    "SVM_1_GoodMonsterKill": "Так с ними и следует поступать!",
    "SVM_1_GoodVictory": "Ты показал ему, кто здесь главный!",
    "SVM_1_GREETINGS_FromFriend": "Здравствуй, Марвин!",
    "SVM_1_Guards": "СТРАЖА!",
    "SVM_1_GUILDAMBIENT_Araxos_LorenzoLooking": "У Лоренцо есть к тебе дело. Поговори с ним.",
    "SVM_1_GUILDAMBIENT_Araxos_WhoYouAre_V1": "Наёмник Марвин?",
    "SVM_1_GUILDAMBIENT_Araxos_WhoYouAre_V2": "Охотник Марвин?",
    "SVM_1_GUILDAMBIENT_Militia_LennartLooking": "Кажется, Леннарт что-то хотел от тебя, поговори с ним.",
    "SVM_1_GUILDAMBIENT_Militia_RoderichLooking": "Зайди к Родериху, у него есть к тебе дело.",
    "SVM_1_GUILDAMBIENT_Militia_WhoYouAre_V1": "Мечник Марвин?",
    "SVM_1_GUILDAMBIENT_Militia_WhoYouAre_V2": "Арбалетчик Марвин?",
    "SVM_1_GUILDAMBIENT_WhoYouAre_V1": "Стражник Марвин?",
    "SVM_1_GUILDAMBIENT_WhoYouAre_V2": "Бегун Марвин?",
    "SVM_1_GUILDAMBIENT_WhoYouAre_V3": "Гражданин Марвин?",
    "SVM_1_HandsOff": "Держи свои руки подальше!",
    "SVM_1_Help": "Помогите!",
    "SVM_1_IGetYouStill": "Опять ТЫ!",
    "SVM_1_IMBUSY_ANGRY": "Я занят. Уходи.",
    "SVM_1_IMBUSY_CALM": "Мне и так хватает забот, оставь меня в покое.",
    "SVM_1_IMBUSY_DRUNK": "У меня и так слишком много забот, не мешай.",
    "SVM_1_ISaidStopMagic": "Хочешь получить? Прекрати сейчас же!",
    "SVM_1_ISaidWeaponDown": "Может, ты, наконец, опустишь это чёртово оружие?!",
    "SVM_1_ITakeYourWeapon": "Я лучше позабочусь о твоём оружии...",
    "SVM_1_ITookYourGold": "Спасибо за золото, герой!",
    "SVM_1_KillEnemy": "Умри!",
    "SVM_1_KillMurderer": "Умри, убийца!",
    "SVM_1_KIND_GOODBYE": "Береги себя!",
    "SVM_1_LookingForTroubleAgain": "Хочешь снова получить по морде?",
    "SVM_1_MIL_CITY_CRIME": "Я ожидал лучшего от стражи! Родерих будет недоволен.",
    "SVM_1_MILGreetings": "Да здравствует король!",
    "SVM_1_MONA_CRIME": "Мастер Нотгер будет недоволен, когда узнает о твоих деяниях!",
    "SVM_1_MonsterKilled": "Получай, грязная тварь!",
    "SVM_1_NeverEnterRoomAgain": "Чтобы я тебя там больше не видел, ясно?",
    "SVM_1_NeverHitMeAgain": "Не пытайся сделать это снова!",
    "SVM_1_NextTimeYoureInForIt": "Что ж, посмотрим в следующий раз...",
    "SVM_1_No": "Нет.",
    "SVM_1_NOGOLD": "Сообщи, когда у тебя будет достаточно золота.",
    "SVM_1_NOGOLD_BRIBE": "Что это? Наверняка ты можешь позволить себе больше.",
    "SVM_1_NOITEMS": "Я просил тебя о большем.",
    "SVM_1_NoLearnNoPoints": "Возвращайся, когда наберёшься больше опыта.",
    "SVM_1_NoLearnOverPersonalMAX": "Ты требуешь от меня больше, чем я могу тебя научить.",
    "SVM_1_NoLearnYoureBetter": "Мне больше нечему тебя научить. Ты слишком хорош.",
    "SVM_1_NotBad": "Хм. Неплохо...",
    "SVM_1_NOTNOW": "Оставь меня в покое!",
    "SVM_1_OhMyGodHesDown": "Боги! Как грубо...",
    "SVM_1_OhMyGodItsAFight": "О Боги, драка!",
    "SVM_1_OhMyHead": "О, моя голова...",
    "SVM_1_Ooh01": "Защищайся!",
    "SVM_1_Ooh02": "Не сдавайся!",
    "SVM_1_Ooh03": "Ох! Как же это больно!",
    "SVM_1_PALGreetings": "Хвала Инносу!",
    "SVM_1_Q202_WAITING_V1": "Если ты тоже думаешь стать гражданином, тебе придётся подождать здесь несколько часов.",
    "SVM_1_Q202_WAITING_V2": "Раз это длится так долго, думаю, придётся построить какое-нибудь пристанище.",
    "SVM_1_Q202_WAITING_V3": "Неудивительно, что мы проигрываем войну, если даже оформление бумаг занимает столько времени.",
    "SVM_1_Q202_WAITING_V4": "Ног не чувствую, и мне бы хотелось чего-нибудь поесть, но раз уж я здесь так долго, то буду стоять до конца!",
    "SVM_1_Q202_WAITING_V5": "У человека важное служебное дело, а он решил забаррикадироваться! Издевательство!",
    "SVM_1_Q202_WAITING_V6": "Если бы снятие шкуры с бюрократа не каралось ссылкой в Долину Рудников, мы бы уже давно выломали эту дверь!",
    "SVM_1_Q202_WAITING_V7": "Я справлюсь, только эта дверь отделяет меня от нового начала в жизни. Я смогу!",
    "SVM_1_Q206_FinbarBody_V1": "Я услышал, как бегут люди, и сразу после этого раздались крики.",
    "SVM_1_Q208_SearchYannick_Anwser_01": "Он, наверное, где-то в море, потому что я давно его не видел.",
    "SVM_1_Q208_SearchYannick_Anwser_02": "Янник? Не припоминаю.",
    "SVM_1_Q208_SearchYannick_Anwser_03": "Сказал бы сразу, что знаешь Уиллема. Янник где-то недалеко от хижины Закари.",
    "SVM_1_QA306_ARAXOS_WHATSUP_V1": "Лучше возьми кирку и займись добычей, Бладвин не очень терпелив.",
    "SVM_1_QA306_ARAXOS_WHATSUP_V2": "Рудокопы должны добывать руду, а не болтать. Тогда они будут извлекать из жил больше золота.",
    "SVM_1_QA306_JOINT_DONTKNOW_V1": "А зачем кому-то табак в шахте? Впервые об этом слышу.",
    "SVM_1_QA306_JOINT_DONTKNOW_V2": "Я занимаюсь добычей руды, а не курением.",
    "SVM_1_QA306_JOINT_DONTKNOW_V3": "Я не подписывался ни на какие допросы. Оставь меня в покое.",
    "SVM_1_QA306_STOPLURKING": "Наарс постоянно мусолил эту тему, а теперь его нет. Сделай свои собственные выводы.",
    "SVM_1_QA306_WORKERS_WHATSUP_V1": "Все боятся Долины Рудников, и это единственная причина, по которой так много людей всё ещё работают здесь.",
    "SVM_1_QA306_WORKERS_WHATSUP_V2": "С рудокопами обращаются как с рабами, независимо от того, где они находятся: на руднике Араксос, Королевском руднике или в Долине Рудников.",
    "SVM_1_QA306_WORKERS_WHATSUP_V3": "Я добываю ровно столько золота, сколько нужно для выживания, заработок просто несбыточная мечта.",
    "SVM_1_REWARD_ANGRY": "Вот, возьми, но даже не пытайся уговорить меня на что-то ещё.",
    "SVM_1_REWARD_CALM": "Вот, это тебе.",
    "SVM_1_RUDE_GOODBYE": "Проваливай!",
    "SVM_1_rumfummlerDown": "Держи свои лапы при себе!",
    "SVM_1_RunAway": "Чёрт! Я сматываюсь отсюда!",
